scenario_name,threshold,predicted_positive_count,tp,fp,fn,tn,estimated_total_cost,within_capacity
high_churn_capture_priority,0.2,908,362,546,12,489,642,False
high_churn_capture_priority,0.25,843,353,490,21,545,658,False
high_churn_capture_priority,0.3,779,338,441,36,594,729,True
high_churn_capture_priority,0.35,726,330,396,44,639,748,True
high_churn_capture_priority,0.4,678,324,354,50,681,754,True
high_churn_capture_priority,0.45,617,309,308,65,727,828,True
high_churn_capture_priority,0.5,573,293,280,81,755,928,True
high_churn_capture_priority,0.55,531,281,250,93,785,994,True
high_churn_capture_priority,0.6,484,268,216,106,819,1064,True
high_churn_capture_priority,0.65,438,255,183,119,852,1135,True
high_churn_capture_priority,0.7,389,235,154,139,881,1266,True
balanced_business_case,0.2,908,362,546,12,489,606,False
balanced_business_case,0.25,843,353,490,21,545,595,False
balanced_business_case,0.3,779,338,441,36,594,621,False
balanced_business_case,0.35,726,330,396,44,639,616,False
balanced_business_case,0.4,678,324,354,50,681,604,False
balanced_business_case,0.45,617,309,308,65,727,633,False
balanced_business_case,0.5,573,293,280,81,755,685,False
balanced_business_case,0.55,531,281,250,93,785,715,False
balanced_business_case,0.6,484,268,216,106,819,746,True
balanced_business_case,0.65,438,255,183,119,852,778,True
balanced_business_case,0.7,389,235,154,139,881,849,True
capacity_constrained_campaign,0.2,908,362,546,12,489,1152,False
capacity_constrained_campaign,0.25,843,353,490,21,545,1085,False
capacity_constrained_campaign,0.3,779,338,441,36,594,1062,False
capacity_constrained_campaign,0.35,726,330,396,44,639,1012,False
capacity_constrained_campaign,0.4,678,324,354,50,681,958,False
capacity_constrained_campaign,0.45,617,309,308,65,727,941,False
capacity_constrained_campaign,0.5,573,293,280,81,755,965,False
capacity_constrained_campaign,0.55,531,281,250,93,785,965,False
capacity_constrained_campaign,0.6,484,268,216,106,819,962,False
capacity_constrained_campaign,0.65,438,255,183,119,852,961,False
capacity_constrained_campaign,0.7,389,235,154,139,881,1003,True
